"user_id","user_first_name","user_last_name","user_email","user_mobile_number","user_password","user_membership_status","address_id","address_country","address_state","address_city","address_postcode","address_type","category_name","category_description","category_id","delivery_datetime","delivery_id","delivery_status","delivery_type","order_datetime","order_detail_id","order_price","order_qty","order_status","payment_status","payment_amount","payment_datetime","payment_id","payment_method","product_average_star_ratings","product_brand","product_code","product_description","product_dimensions","product_id","product_name","product_price","product_published_datetime","product_reviews","product_stock","product_weight","seller_address","seller_delivery_method","seller_id","seller_name","shipper_company","shipper_contact","shipper_id"
101453,"Tresa","Alvares","talvareska@msn.com","(614) 8724699","gD2$~8IsiaT","Not Prime",711570,"United States","Ohio","Columbus",43268,"Business","Electronics","This category includes products like smartphones, laptops, cameras, televisions, headphones, and other electronic gadgets.",4,"2023-09-01 10:54:44.776074",5972,"Delivered","Express","2023-08-20 19:56:23.076627",6344,964.45,5,"Delivered","paid",964.45,"2023-08-22 10:37:15.273157",1737,"Credit Card",2,"Brand C",2520,"3YJU8E9w24","8x6x1 inches",7610,"WGHWA",170,"2023-08-09",88,767,26.59,"Seller Address 45","Express Shipping",8509,"Seller ZSeller GSeller N","Shipper G",8571406450,3525
101453,"Tresa","Alvares","talvareska@msn.com","(614) 8724699","gD2$~8IsiaT","Not Prime",711570,"United States","Ohio","Columbus",43268,"Business","Electronics","This category includes products like smartphones, laptops, cameras, televisions, headphones, and other electronic gadgets.",4,"2023-09-06 15:18:04.217173",3055,"Delivered","Pickup","2023-08-31 19:50:21.830428",4763,201.93,3,"Delivered","paid",201.93,"2023-09-01 18:46:30.249923",6549,"PayPal",1.36,"Brand H",2597,"GfYG0y1HPx","10x7x5 inches",1374,"KQFTX",111.09,"2023-02-06",17,382,35.83,"Seller Address 63","Pickup",7782,"Seller YSeller QSeller Y",NA,NA,NA
101453,"Tresa","Alvares","talvareska@msn.com","(614) 8724699","gD2$~8IsiaT","Not Prime",711570,"United States","Ohio","Columbus",43268,"Business","Electronics","This category includes products like smartphones, laptops, cameras, televisions, headphones, and other electronic gadgets.",4,"2023-12-03 02:35:12.380187",1634,"Delivered","Same-Day","2023-11-30 09:59:08.46303",6166,443.4,2,"Delivered","paid",443.4,"2023-12-01 17:28:45.232076",1778,"PayPal",2,"Brand D",1240,"5QMg1sf5dC","5x6x4 inches",3047,"RQEPJ",137,"2023-11-25",52,738,33.93,"Seller Address 39","Courier",9951,"Seller QSeller USeller U",NA,NA,NA
102050,"Whittaker","Sandeson","wsandesondr@cpanel.net","(312) 8564364","qF7(V>Xg~{OL6A","Not Prime",700429,"United States","Illinois","Chicago",60604,"Business","Books","This category encompasses a vast collection of books including fiction, non-fiction, textbooks, children's books, and more.",3,"2023-09-26 12:23:13.496485",9762,"Delivered","Standard","2023-09-23 17:01:53.309477",4658,4326.4,10,"Delivered","paid",4326.4,"2023-09-24 15:51:39.769427",8914,"Debit Card",3,"Brand G",5738,"JSY5UkYqTE","5x7x8 inches",9079,"NEHJI",17,"2023-09-04",1,178,24.42,"Seller Address 45","Pickup",4628,"Seller LSeller HSeller Z",NA,NA,NA
102050,"Whittaker","Sandeson","wsandesondr@cpanel.net","(312) 8564364","qF7(V>Xg~{OL6A","Not Prime",700429,"United States","Illinois","Chicago",60604,"Business","Books","This category encompasses a vast collection of books including fiction, non-fiction, textbooks, children's books, and more.",3,"2023-04-23 08:26:25.526859",4153,"Delivered","Express","2023-04-13 23:19:38.504303",4660,3330.72,9,"Delivered","paid",3330.72,"2023-04-16 20:17:39.927014",4565,"Debit Card",4,"Brand A",9959,"onoJWsKF64","8x1x4 inches",7199,"ZFXTO",270,"2023-03-26",10,687,37.32,"Seller Address 87","Courier",1090,"Seller DSeller TSeller X",NA,NA,NA
102050,"Whittaker","Sandeson","wsandesondr@cpanel.net","(312) 8564364","qF7(V>Xg~{OL6A","Not Prime",700429,"United States","Illinois","Chicago",60604,"Business","Books","This category encompasses a vast collection of books including fiction, non-fiction, textbooks, children's books, and more.",3,"2023-02-13 15:45:50.269773",6568,"Delivered","Same-Day","2023-02-10 15:56:53.018623",6088,830.45,5,"Delivered","paid",830.45,"2023-02-13 12:43:17.068351",6653,"Debit Card",1,"Brand C",4856,"24qFmhieDH","8x3x5 inches",4554,"WJLRS",23,"2023-01-22",2,94,36.14,"Seller Address 48","Standard Shipping",4919,"Seller SSeller MSeller M","Shipper B",3936770781,9938
102795,"Mimi","Morehall","mmorehall8z@ucla.edu","(703) 7429718","vQ8~juP1|o""","Prime",233408,"United States","District of Columbia","Washington",16918,"Residential","Grocery & Gourmet Food","Food and beverage products ranging from pantry staples to gourmet and specialty items are available here.",6,"2023-05-08 01:07:26.464071",7068,"Delivered","Express","2023-05-03 14:48:08.670968",2449,955.59,3,"Delivered","paid",907.81,"2023-05-06 03:56:19.241397",7083,"PayPal",2,"Brand E",9002,"2ZgA8JFyB0","6x5x6 inches",6100,"SIHYM",263,"2023-04-10",57,605,36.08,"Seller Address 46","Express Shipping",4227,"Seller OSeller MSeller O","Shipper F",3936770781,1880
105872,"Marlee","Cambden","mcambdenhw@loc.gov","(303) 4740775","zC5(i,g)","Prime",845081,"United States","Colorado","Denver",80204,"Other","Books","This category encompasses a vast collection of books including fiction, non-fiction, textbooks, children's books, and more.",3,"2023-04-08 12:00:22.762963",3559,"Delivered","Express","2023-04-02 22:55:36.191909",8905,1476.12,4,"Delivered","paid",1402.31,"2023-04-03 09:34:04.933426",3395,"Credit Card",1,"Brand E",7862,"eGojVzdtPi","7x7x5 inches",2992,"BCJUD",120,"2023-03-12",11,648,0.77,"Seller Address 1","Express Shipping",5181,"Seller USeller ISeller D","Shipper E",3936770781,2154
105872,"Marlee","Cambden","mcambdenhw@loc.gov","(303) 4740775","zC5(i,g)","Prime",845081,"United States","Colorado","Denver",80204,"Other","Books","This category encompasses a vast collection of books including fiction, non-fiction, textbooks, children's books, and more.",3,"2023-05-10 08:12:16.482138",7724,"Delivered","Pickup","2023-05-01 21:07:02.396904",9410,304.88,2,"Delivered","paid",289.64,"2023-05-02 19:29:19.235747",4198,"Credit Card",1,"Brand C",2135,"Y4vR6jtgnz","7x4x8 inches",8540,"YQHBO",29,"2023-04-14",67,561,49.46,"Seller Address 100","Express Shipping",8296,"Seller ISeller YSeller I","Shipper I",4215964895,9938
105872,"Marlee","Cambden","mcambdenhw@loc.gov","(303) 4740775","zC5(i,g)","Prime",845081,"United States","Colorado","Denver",80204,"Other","Books","This category encompasses a vast collection of books including fiction, non-fiction, textbooks, children's books, and more.",3,"2023-06-13 21:21:50.580057",2913,"Delivered","Standard","2023-06-07 10:03:40.216656",7094,889.56,7,"Delivered","paid",845.08,"2023-06-08 21:05:11.229955",6904,"Debit Card",3,"Brand D",3480,"xY0mSfhNmX","5x7x6 inches",2375,"SLPNH",84,"2023-05-24",16,11,19.86,"Seller Address 92","Standard Shipping",7580,"Seller XSeller NSeller E","Shipper E",9432251674,2154
